"planet_key"|"PLANET"|"Star_idx"|"Mass"|"Density"|"Relative Radius"|"type_terrain"|"type of climate"
1|"Sakura Alpha"|3940|7,99|1,167|1,9|"ash:city:cave:rock arche"|"artic:subartic:frozen:hot:humid"
2|"Sakura Upsilon"|3940|5,85|1,339|1,63|"vine"|"arid"
3|"Homam Rho"|2364|2,54|0,702|1,54|"jungle"|"frozen:tropical:superheated:arid:artic"
4|"Homam Tau"|2364|4,54|1,448|1,46|"tundra:valley:cave"|"tropical:subartic:windy:rocky:arid:temperate"
5|"Alzirr Asclepian"|2474|8,04|0,883|2,09|"sea:cave:ice cave"|"frigid:superheated"
6|"Alzirr Sirenios"|2474|2,47|1,103|1,31|"cliff:verdant"|"arid"
7|"Inazuma Shadows Psychean"|9842|1,12|1,122|1|"cityscape"|"frozen:tropical:arid:windy:rocky:superheated"
8|"Inazuma Shadows Poseidian"|9842|2,56|1,549|1,18|"ice cave"|"artic"
9|"Kagayaki XVI"|7873|6,34|0,706|2,08|"lakes:acid pool"|"rocky:frigid:temperate:artificial temperate:frozen"
10|"Kagayaki I"|7873|1,43|0,879|1,18|"ocean:tundra:cave:forest:island:canyons:reef"|"subartic:artificial temperate:frigid:artic:rocky:windy"
11|"Kagayaki XVIII"|7873|0,98|0,901|1,03|"savanna:jungle:canyons:desert"|"windy:tropical:humid:superheated:temperate"
12|"Kagayaki XI"|7873|3,22|1,205|1,39|"rainforest:forest:hill"|"rocky:superheated:windy:artic"
13|"Umi Celestial Octal"|8155|1,9|0,975|1,25|"rocky island:reef:river:desert:scrubland"|"humid:arid:subartic:superheated"
14|"Umi Celestial Septimal"|8155|2,14|1,232|1,2|"rocky desert:river"|"humid:windy"
15|"Vesperian Whimsy Xi"|9398|5,89|1,383|1,62|"acid pool:bog:cliff:urban:desert:mountain"|"artic:arid:frozen:temperate:rocky"
16|"Vesperian Whimsy Pi"|9398|3,34|0,995|1,5|""|"windy"
17|"Vesperian Whimsy Chi"|9398|2,33|0,737|1,47|"rocky desert:sinkholes"|"rocky:artic:subartic:superheated:frigid"
18|"Sekai Ember Secant"|5501|4,29|0,922|1,67|"ice canyon"|"arid:frozen:hot:superheated"
19|"Shogun's Echo Duodecimal"|4193|1,42|0,866|1,18|"city:plain:urban"|"frozen:rocky:temperate:artic"
20|"Shogun's Echo Vigesimal"|4193|1,12|0,759|1,14|"cliff:sinkholes:ice canyon:lava river:forest:river"|"frozen:artificial temperate:artic:hot:arid:superheated:rocky"
21|"Shogun's Echo Septimal"|4193|2,52|0,936|1,39|"plateau:vine:urban:rainforest:mountain"|"artificial temperate:superheated:windy:hot:temperate:rocky"
22|"Tupi Octal"|5730|9,57|0,85|2,24|"river"|"tropical:arid:artic:temperate"
23|"Keid Persephonian"|6051|3,81|0,917|1,61|"plain:vine"|"artificial temperate"
24|"Keid Oranos"|6051|1,2|0,833|1,13|"tundra:ice canyon"|"frozen:windy"
25|"Luminous Nexus Dionysios"|3685|3,05|0,905|1,5|"grassy hill:plateau:valley"|"artificial temperate:tropical:windy:humid"
26|"Pharaoh's Silence Poseidian"|9975|xx|0,777|1,66|"swamp:toxic cloudsea:urban:forest"|"frigid:subartic:artic:humid"
27|"Torii Celestial Duodecimal"|1522|xx|0,83|1,47|"ash:bog:rocky canyon:fungus forest"|"frozen:hot:temperate:tropical:subartic:artic"
28|"Torii Celestial Quintal"|2852|5,72|0,758|1,96|"fungus forest:cave:rocky canyon"|"tropical:frigid:rocky:frozen"
29|"Torii Celestial Sextant"|1522|6,18|0,974|1,85|"lakes:ocean:ice cave"|"humid:tropical:windy:frigid"
30|"Torii Celestial Tertial"|1522|7,05|1,041|xx|"scrubland"|"humid:arid:frozen:tropical:windy:rocky"
31|"Phoenicia Athenian"|5278|0,48|0,929|0,8|"river:rocky canyon:urban:rocky island:rocky desert:savanna:sinkholes:bog:hill:glacier"|"superheated:artic:artificial temperate:arid:frozen:tropical:subartic"
32|"Cosmosith XIX"|2431|7,7|0,714|2,21|"hill:jungle:field:cityscape:reef:vine"|"hot:rocky:superheated:windy:frigid"
33|"Cosmosith VII"|2431|xx|1,169|1,4|"rock arche"|"windy:subartic"
34|"Guniibuu V"|5365|6,68|0,642|2,18|"swamp:rocky island:savanna:fungus forest:jungle"|"artic:humid:tropical:rocky"
35|"Guniibuu X"|5365|5,84|1,001|1,8|"grassland:verdant:grassy hill"|"tropical:temperate"
